,Teams,W,L,PCT,GB,HOME,ROAD,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
0,Golden State WarriorsGS,22,0,1.0,-,10-0,12-0,6-0,15-0,115.1,100.2,14.9,W22,10-0
1,San Antonio SpursSA,17,4,0.81,4.5,11-0,6-4,3-1,9-2,99.3,89.3,10.0,W3,8-2
2,Miami HeatMIA,12,6,0.667,8,10-3,2-3,1-1,6-5,96.4,92.2,4.3,W2,7-3
3,Cleveland CavaliersCLE,13,7,0.65,8,9-1,4-6,2-3,11-6,101.4,97.6,3.9,L3,5-5
4,Chicago BullsCHI,11,6,0.647,8.5,7-2,4-4,2-2,6-4,98.7,98.0,0.7,L1,7-3
5,Indiana PacersIND,12,7,0.632,8.5,6-2,6-5,3-2,9-3,103.3,98.2,5.1,L2,7-3
6,Atlanta HawksATL,13,9,0.591,9,8-4,5-5,4-0,7-5,101.5,99.5,2.0,W1,5-5
7,Oklahoma City ThunderOKC,11,8,0.579,9.5,8-3,3-5,2-0,6-2,108.2,102.7,5.5,L2,5-5
8,Charlotte HornetsCHA,11,8,0.579,9.5,8-3,3-5,1-3,7-6,102.3,99.5,2.7,W1,7-3
9,Memphis GrizzliesMEM,12,9,0.571,9.5,7-4,5-5,4-2,9-7,96.3,99.6,-3.2,W1,7-3
10,Dallas MavericksDAL,12,9,0.571,9.5,5-3,7-6,2-4,9-7,101.3,100.6,0.7,W1,5-5
11,Toronto RaptorsTOR,12,9,0.571,9.5,4-4,8-5,2-1,7-3,100.6,97.1,3.5,L2,5-5
12,Detroit PistonsDET,12,9,0.571,9.5,8-2,4-7,3-2,5-4,99.0,97.5,1.5,W4,6-4
13,Los Angeles ClippersLAC,11,9,0.55,10,9-5,2-4,3-3,9-7,102.8,101.8,1.0,W1,5-5
14,Orlando MagicORL,11,9,0.55,10,7-3,4-6,0-2,5-5,101.6,99.5,2.1,L1,6-4
15,Boston CelticsBOS,11,9,0.55,10,6-4,5-5,3-2,8-6,102.8,98.0,4.8,L1,5-5
16,Utah JazzUTAH,9,9,0.5,11,4-4,5-5,1-2,4-4,97.3,95.9,1.4,W1,5-5
17,Houston RocketsHOU,10,11,0.476,11.5,6-7,4-4,2-3,7-6,102.9,107.3,-4.4,W3,6-4
18,New York KnicksNY,10,11,0.476,11.5,5-6,5-5,3-0,6-9,97.2,98.2,-1.0,L1,5-5
19,Washington WizardsWSH,8,10,0.444,12,4-6,4-4,2-2,6-7,100.2,104.8,-4.7,L1,4-6
20,Portland Trail BlazersPOR,9,12,0.429,12.5,5-5,4-7,3-1,8-9,102.1,102.2,-0.1,W2,5-5
21,Minnesota TimberwolvesMIN,8,11,0.421,12.5,2-8,6-3,1-2,3-5,100.8,101.5,-0.7,L3,4-6
22,Phoenix SunsPHX,8,13,0.381,13.5,5-5,3-8,3-2,7-8,105.6,105.4,0.2,L4,2-8
23,Denver NuggetsDEN,8,13,0.381,13.5,3-6,5-7,1-3,5-11,97.2,103.0,-5.9,W2,2-8
24,Milwaukee BucksMIL,8,13,0.381,13.5,6-4,2-9,2-3,7-10,95.8,102.2,-6.5,W1,3-7
25,Sacramento KingsSAC,7,14,0.333,14.5,5-7,2-7,1-5,2-10,105.2,109.3,-4.0,L2,3-7
26,Brooklyn NetsBKN,5,15,0.25,16,4-4,1-11,1-2,3-8,95.6,102.8,-7.3,L2,4-6
27,New Orleans PelicansNO,5,15,0.25,16,4-5,1-10,2-3,4-10,102.3,109.0,-6.8,W1,4-6
28,Los Angeles LakersLAL,3,17,0.15,18,1-6,2-11,0-3,0-9,96.5,105.7,-9.2,L2,1-9
29,Philadelphia 76ersPHI,1,20,0.048,20.5,1-8,0-12,0-4,0-12,91.9,102.3,-10.5,L2,1-9
