,Ranking,Teams,DIV,GP,W,L,OT,P,ROW,GF,GA,Diff,Home,Away,S/O,L10,Streak,Pct
0,1,Montréal,A,25,18,4,3,39,17,88,56,+32,9-2-2,9-2-1,1-1,6-2-2,OT 1,0.72
1,2,Dallas,C,24,19,5,0,38,18,85,62,+23,9-3-0,10-2-0,1-0,8-2-0,Won 2,0.791666666667
2,3,Washington,M,23,17,5,1,35,16,75,51,+24,10-3-1,7-2-0,1-0,7-2-1,Won 5,0.739130434783
3,4,NY Rangers,M,24,16,6,2,34,15,70,50,+20,10-3-1,6-3-1,1-1,6-4-0,Lost 3,0.666666666667
4,5,St. Louis,C,24,15,6,3,33,14,65,58,+7,7-2-2,8-4-1,1-0,5-3-2,Won 1,0.625
5,6,Los Angeles,P,23,14,8,1,29,13,58,50,+8,8-5-0,6-3-1,1-1,6-3-1,Won 1,0.608695652174
6,7,Ottawa,A,23,12,6,5,29,9,76,68,+8,5-3-4,7-3-1,3-3,5-2-3,Lost 1,0.521739130435
7,8,Chicago,C,24,13,8,3,29,13,67,62,+5,8-2-1,5-6-2,-,6-2-2,OT 1,0.541666666667
8,9,San Jose,P,23,14,9,0,28,13,66,58,+8,4-6-0,10-3-0,1-0,7-3-0,Won 1,0.608695652174
9,10,Pittsburgh,M,23,13,8,2,28,12,52,54,-2,8-4-1,5-4-1,1-1,4-4-2,OT 2,0.565217391304
10,11,Nashville,C,23,12,7,4,28,10,59,60,-1,7-2-2,5-5-2,2-1,4-4-2,Lost 1,0.521739130435
11,12,NY Islanders,M,24,12,8,4,28,12,67,59,+8,7-4-2,5-4-2,0-2,5-4-1,Won 1,0.5
12,13,Detroit,A,24,12,8,4,28,12,56,60,-4,6-5-3,6-3-1,-,5-2-3,OT 1,0.5
13,14,Boston,A,22,13,8,1,27,12,73,64,+9,5-6-1,8-2-0,1-0,7-3-0,Won 5,0.590909090909
14,15,Arizona,P,23,13,9,1,27,13,65,65,E,6-4-0,7-5-1,-,7-3-0,Won 3,0.565217391304
15,16,Minnesota,C,22,11,7,4,26,11,63,61,+2,8-3-1,3-4-3,-,4-4-2,OT 1,0.5
16,17,New Jersey,M,23,12,9,2,26,10,56,57,-1,5-5-2,7-4-0,2-2,5-4-1,Won 1,0.521739130435
17,18,Vancouver,P,24,9,8,7,25,8,69,65,+4,3-4-3,6-4-4,1-1,3-4-3,OT 1,0.375
18,19,Tampa Bay,A,25,11,11,3,25,10,59,58,+1,6-5-1,5-6-2,1-2,4-5-1,Lost 2,0.44
19,20,Florida,A,23,10,9,4,24,8,60,59,+1,6-5-2,4-4-2,2-1,5-4-1,Won 2,0.434782608696
20,21,Winnipeg,C,25,11,12,2,24,11,67,80,-13,5-4-1,6-8-1,0-1,3-7-0,Lost 1,0.44
21,22,Philadelphia,M,24,9,10,5,23,8,45,65,-20,5-4-3,4-6-2,1-1,4-4-2,Won 2,0.375
22,23,Buffalo,A,24,10,12,2,22,9,54,62,-8,5-8-1,5-4-1,1-1,4-4-2,Won 2,0.416666666667
23,24,Anaheim,P,24,8,11,5,21,7,47,65,-18,5-3-4,3-8-1,1-1,3-4-3,OT 1,0.333333333333
24,25,Carolina,M,23,8,11,4,20,8,47,66,-19,4-5-3,4-6-1,0-1,3-3-4,Lost 1,0.347826086957
25,26,Columbus,M,25,10,15,0,20,10,60,76,-16,4-7-0,6-8-0,-,6-4-0,Lost 1,0.4
26,27,Colorado,C,23,9,13,1,19,9,68,70,-2,3-6-1,6-7-0,-,5-5-0,Won 1,0.391304347826
27,28,Toronto,A,23,7,11,5,19,5,53,66,-13,3-5-3,4-6-2,2-4,5-3-2,Lost 1,0.304347826087
28,29,Calgary,P,24,8,14,2,18,8,56,87,-31,5-5-0,3-9-2,0-1,4-5-1,Lost 1,0.333333333333
29,30,Edmonton,P,24,8,14,2,18,7,62,74,-12,4-5-1,4-9-1,1-0,3-5-2,Won 1,0.333333333333
